# Z  symbol            a[0..4]                                  b[0..4]
 24  Cr  +1.89013406000000006e+00 +1.55872136999999999e+00 +1.32572584000000004e+00 -1.29538389000000009e+00 +2.30262979999999989e-03  +1.03854346999999994e+01 +1.14007254999999996e+00 +2.53320684999999990e-02 +2.49211462000000009e-02 +5.84674720000000030e-03
 25  Mn  +2.38945431000000008e+00 +1.31829321999999993e+00 +3.36446860000000014e-01 -3.10922081000000017e-01 +2.52769649000000006e-03  +8.67955463000000016e+00 +9.50691693999999976e-01 +2.22590099999999992e-02 +2.09572943999999997e-02 +5.58854940000000008e-03
 26  Fe  +2.28163215000000008e+00 +1.27410449999999997e+00 +1.65150423999999990e-01 -1.43911904000000007e-01 +2.92483266999999996e-03  +8.06937843000000044e+00 +8.54512935000000029e-01 +1.96200934000000000e-02 +1.74591358999999988e-02 +5.40943459999999963e-03
 27  Co  +2.14641598000000000e+00 +1.25706275999999995e+00 +1.52626399999999995e-01 -1.34839456999999996e-01 +3.58431749999999980e-03  +7.62595873999999974e+00 +7.87414163000000000e-01 +1.70195071000000010e-02 +1.50874197999999998e-02 +5.29905171999999966e-03
 28  Ni  +2.03428489999999984e+00 +1.22444839999999999e+00 +1.85654925999999998e-01 -1.75699855999999988e-01 +8.26163132000000064e-03  +7.18425895000000025e+00 +7.16999791999999969e-01 +1.34645496000000003e-02 +1.20973846000000003e-02 +5.79748748000000029e-03
 29  Cu  +1.46853085000000005e+00 +1.30359264999999991e+00 +6.36337644999999952e-02 -5.62637157000000013e-02 +8.85645690999999936e-03  +7.13383237000000037e+00 +6.88588014999999998e-01 +1.34022094000000001e-02 +9.90149847999999971e-03 +5.49527489000000043e-03
 30  Zn  +2.14106116999999996e+00 +2.50216436000000009e+00 -3.31921185999999979e+00 +1.70885222999999997e+00 +3.84102461999999987e-04  +5.28040232000000032e+00 +2.56494861000000018e-01 +1.50383661000000002e-01 +1.16690541999999994e-01 +2.77006993000000019e-03
 31  Ga  +2.73513428999999997e+00 +2.45567036000000005e+00 -3.87172283999999989e+00 +2.23071849000000011e+00 +3.49687591000000025e-04  +5.92008800999999973e+00 +2.24073451000000007e-01 +1.33471119999999999e-01 +1.09247568000000003e-01 +2.57960609999999995e-03
 32  Ge  +2.99837577000000000e+00 +3.20542089000000008e+00 -4.05811998999999979e+00 +1.54321814000000002e+00 +3.05191411999999993e-04  +5.09643784000000011e+00 +1.76371063999999994e-01 +1.26353708000000009e-01 +9.47325656999999932e-02 +2.38876319000000002e-03
 33  As  +3.08005642000000002e+00 +3.13459845999999986e+00 -4.03369997999999974e+00 +1.48578849000000002e+00 +2.56606026999999990e-04  +4.25637013999999958e+00 +1.47714052000000012e-01 +1.09507255999999997e-01 +8.28509139999999977e-02 +2.20049176000000016e-03
 34  Se  +3.10284730000000009e+00 +2.73117452000000016e+00 -3.96995499000000018e+00 +1.74474631999999996e+00 +2.36844157999999990e-04  +3.59856473000000010e+00 +1.30431982000000002e-01 +9.56239464000000067e-02 +7.63406875999999984e-02 +2.06188790999999993e-03
 35  Br  +3.09349725999999992e+00 +2.77404498000000022e+00 -3.88635498000000013e+00 +1.55165046000000006e+00 +2.12274231000000006e-04  +3.09961922000000012e+00 +1.13406181999999994e-01 +8.66383235000000029e-02 +6.85403663999999968e-02 +1.92486810999999993e-03
